id,text,pos,lemma,level,sense,type
130,གང,NULL,NULL,1,NULL,1
131,དེ་རིང,NULL,NULL,1,NULL,1
132,ཏོག་ཙམ,NULL,NULL,1,NULL,1
133,བསམ,NULL,NULL,1,NULL,1
134,རྒྱལ་སྲས,NULL,NULL,1,NULL,1
135,ལས་ཀ,NULL,NULL,1,NULL,1
136,ཐུབ,NULL,NULL,1,NULL,1
137,མ་གཏོགས,NULL,NULL,1,NULL,1
138,ཚར,NULL,NULL,1,NULL,1
139,དགོས་པ,NULL,NULL,1,NULL,1
140,སེམས,NULL,NULL,1,NULL,1
141,སྐབས,NULL,NULL,1,NULL,1
142,གསུམ,NULL,NULL,1,NULL,1
143,ཉི་མ,NULL,NULL,1,NULL,1
144,བླ་མ,NULL,NULL,1,NULL,1
145,དུས,NULL,NULL,1,NULL,1
146,སློབ་སྦྱོང,NULL,NULL,1,NULL,1
147,རོགས,NULL,NULL,1,NULL,1
148,ཡིན་ན་ཡང,NULL,NULL,1,NULL,1
149,བར,NULL,NULL,1,NULL,1
150,ཁ,NULL,NULL,1,NULL,1
151,ཕར,NULL,NULL,1,NULL,1
152,གཏོང,NULL,NULL,1,NULL,1
153,རྒྱལ་བོ,NULL,NULL,1,NULL,1
154,ལོ,NULL,NULL,1,NULL,1
155,ཨ,NULL,NULL,1,NULL,1
156,ནམ་རྒྱུན,NULL,NULL,1,NULL,1
157,ཆུ,NULL,NULL,1,NULL,1
158,ཧ་ཅང,NULL,NULL,1,NULL,1
159,བསམ་བློ,NULL,NULL,1,NULL,1
160,གཞན,NULL,NULL,1,NULL,1
161,ཆོས,NULL,NULL,1,NULL,1
162,བཟོ,NULL,NULL,1,NULL,1
163,སོང་བ,NULL,NULL,1,NULL,1
164,མོ,NULL,NULL,1,NULL,1
165,འདི་འདྲ,NULL,NULL,1,NULL,1
166,ལགས་སོ,NULL,NULL,1,NULL,1
167,ག་འདྲ,NULL,NULL,1,NULL,1
168,དགོན་པ,NULL,NULL,1,NULL,1
169,ང་རང,NULL,NULL,1,NULL,1
170,སྔོན་མ,NULL,NULL,1,NULL,1
171,ཞེ་པོ,NULL,NULL,1,NULL,1
172,ཡོད་ས,NULL,NULL,1,NULL,1
173,དེ་ཡིན་དུས,NULL,NULL,1,NULL,1
174,མེད,NULL,NULL,1,NULL,1
175,ཡིས,NULL,NULL,1,NULL,1
176,སྙམ,NULL,NULL,1,NULL,1
177,མཉམ,NULL,NULL,1,NULL,1
178,སྐད,NULL,NULL,1,NULL,1
179,རུ,NULL,NULL,1,NULL,1
180,ལབ་ཡ,NULL,NULL,1,NULL,1
181,ཧ་གོ,NULL,NULL,1,NULL,1
182,རི་བོང,NULL,NULL,1,NULL,1
183,དེ་དག,NULL,NULL,1,NULL,1
184,ཅི,NULL,NULL,1,NULL,1
185,གྱུར,NULL,NULL,1,NULL,1
186,ལྟར,NULL,NULL,1,NULL,1
187,ཁྱིམ,NULL,NULL,1,NULL,1
188,ད་དུང,NULL,NULL,1,NULL,1
189,གནང,NULL,NULL,1,NULL,1
190,འཁྱེར,NULL,NULL,1,NULL,1
191,ཆུ་ཚོད,NULL,NULL,1,NULL,1
192,ཟེར་བ,NULL,NULL,1,NULL,1
193,ངང,NULL,NULL,1,NULL,1
194,ཤོག,NULL,NULL,1,NULL,1
195,དྲིས,NULL,NULL,1,NULL,1
196,སོགས,NULL,NULL,1,NULL,1
197,བོད,NULL,NULL,1,NULL,1
198,ཐོན,NULL,NULL,1,NULL,1
199,རྒྱག,NULL,NULL,1,NULL,1
200,ཟེར་ན,NULL,NULL,1,NULL,1
201,ཉིན,NULL,NULL,1,NULL,1
202,རིན་པོ་ཆེ,NULL,NULL,1,NULL,1
203,བསྡད་པ,NULL,NULL,1,NULL,1
204,བཅས,NULL,NULL,1,NULL,1
205,སྤྲད,NULL,NULL,1,NULL,1
206,ཕྲུ་གུ,NULL,NULL,1,NULL,1
207,ལབ་ན,NULL,NULL,1,NULL,1
208,ཡོང་བ,NULL,NULL,1,NULL,1
209,ཨིན,NULL,NULL,1,NULL,1
210,ལོག,NULL,NULL,1,NULL,1
211,བྱུང་བ,NULL,NULL,1,NULL,1
212,བཤད་ན,NULL,NULL,1,NULL,1
213,ཡོང་དུས,NULL,NULL,1,NULL,1
214,སྤྱང་ཀི,NULL,NULL,1,NULL,1
215,ཁ་སང,NULL,NULL,1,NULL,1
216,ཏག་ཏག,NULL,NULL,1,NULL,1
217,ཆོག,NULL,NULL,1,NULL,1
218,སྒོ,NULL,NULL,1,NULL,1
219,དཔེ,NULL,NULL,1,NULL,1
220,མགོ,NULL,NULL,1,NULL,1
221,ག་ཚོད,NULL,NULL,1,NULL,1
222,ཐོག,NULL,NULL,1,NULL,1
223,ཚོ,NULL,NULL,1,NULL,1
224,ཟས,NULL,NULL,1,NULL,1
225,མ་ཟད,NULL,NULL,1,NULL,1
226,ཕ་མ,NULL,NULL,1,NULL,1
227,བྱ,NULL,NULL,1,NULL,1
228,ཁྱོད་རང,NULL,NULL,1,NULL,1
229,ཕྱོགས,NULL,NULL,1,NULL,1
230,ལན,NULL,NULL,1,NULL,1
231,ཟ,NULL,NULL,1,NULL,1
232,རྒན་མོ,NULL,NULL,1,NULL,1
233,ཆུང་མ,NULL,NULL,1,NULL,1
234,བཟོས,NULL,NULL,1,NULL,1
235,དེ་ལྟར,NULL,NULL,1,NULL,1
236,བཟུང,NULL,NULL,1,NULL,1
237,བྱེད་པ,NULL,NULL,1,NULL,1
238,ལེན,NULL,NULL,1,NULL,1
239,བྱེད་ཡ,NULL,NULL,1,NULL,1
240,ཕྱིན་པ,NULL,NULL,1,NULL,1
241,རེ,NULL,NULL,1,NULL,1
242,ཨ་ནེ,NULL,NULL,1,NULL,1
243,དེང་སང,NULL,NULL,1,NULL,1
244,འོག,NULL,NULL,1,NULL,1
245,ཨེ་འདྲ,NULL,NULL,1,NULL,1
246,རེད་པས,NULL,NULL,1,NULL,1
247,གཙོ་བོ,NULL,NULL,1,NULL,1
248,ཝ་མོ,NULL,NULL,1,NULL,1
249,འཚོ་བ,NULL,NULL,1,NULL,1
250,རག,NULL,NULL,1,NULL,1
251,ལམ,NULL,NULL,1,NULL,1
252,ཉིན་ཞིག,NULL,NULL,1,NULL,1
253,བལྟ,NULL,NULL,1,NULL,1
254,ཁང་པ,NULL,NULL,1,NULL,1
255,མིང,NULL,NULL,1,NULL,1
256,ཡོད་རེད,NULL,NULL,1,NULL,1
257,མིག,NULL,NULL,1,NULL,1
258,ཚོགས,NULL,NULL,1,NULL,1
259,འདུག་བ,NULL,NULL,1,NULL,1
260,ལབ་དུས,NULL,NULL,1,NULL,1
261,སང་ཉིན,NULL,NULL,1,NULL,1
262,དེབ,NULL,NULL,1,NULL,1
263,བཙུན་མོ,NULL,NULL,1,NULL,1
264,སྐྱེས,NULL,NULL,1,NULL,1
265,ནང་བཞིན,NULL,NULL,1,NULL,1
266,བཅུག,NULL,NULL,1,NULL,1
267,ཚོགས་པ,NULL,NULL,1,NULL,1
